run_time,valid_time,variable,value
2026-07-24T21:00:00,2026-07-25T13:00,wind_speed_10m,11.61
2026-07-24T21:00:00,2026-07-25T14:00,wind_speed_10m,12.22
2026-07-24T21:00:00,2026-07-25T15:00,wind_speed_10m,13.94
2026-07-24T21:00:00,2026-07-25T16:00,wind_speed_10m,13.46
2026-07-24T21:00:00,2026-07-25T17:00,wind_speed_10m,13.57
2026-07-24T21:00:00,2026-07-25T18:00,wind_speed_10m,12.06
2026-07-24T21:00:00,2026-07-25T19:00,wind_speed_10m,10.07
2026-07-24T21:00:00,2026-07-25T20:00,wind_speed_10m,5.79
2026-07-24T21:00:00,2026-07-25T21:00,wind_speed_10m,3.83
2026-07-24T21:00:00,2026-07-25T22:00,wind_speed_10m,3.66
2026-07-24T21:00:00,2026-07-25T23:00,wind_speed_10m,3.79
2026-07-24T21:00:00,2026-07-26T00:00,wind_speed_10m,4.65
2026-07-24T21:00:00,2026-07-26T01:00,wind_speed_10m,4.75
2026-07-24T21:00:00,2026-07-26T02:00,wind_speed_10m,5.37
2026-07-24T21:00:00,2026-07-26T03:00,wind_speed_10m,6.17
2026-07-24T21:00:00,2026-07-26T04:00,wind_speed_10m,6.29
2026-07-24T21:00:00,2026-07-26T05:00,wind_speed_10m,6.29
2026-07-24T21:00:00,2026-07-26T06:00,wind_speed_10m,6.69
2026-07-24T21:00:00,2026-07-26T07:00,wind_speed_10m,5.63
2026-07-24T21:00:00,2026-07-26T08:00,wind_speed_10m,4.39
2026-07-24T21:00:00,2026-07-26T09:00,wind_speed_10m,4.09
2026-07-24T21:00:00,2026-07-26T10:00,wind_speed_10m,6.81
2026-07-24T21:00:00,2026-07-26T11:00,wind_speed_10m,6.93
2026-07-24T21:00:00,2026-07-26T12:00,wind_speed_10m,6.37
2026-07-24T21:00:00,2026-07-26T13:00,wind_speed_10m,6.16
2026-07-24T21:00:00,2026-07-26T14:00,wind_speed_10m,8.18
2026-07-24T21:00:00,2026-07-26T15:00,wind_speed_10m,7.49
2026-07-24T21:00:00,2026-07-26T16:00,wind_speed_10m,6.48
2026-07-24T21:00:00,2026-07-26T17:00,wind_speed_10m,6.99
2026-07-24T21:00:00,2026-07-26T18:00,wind_speed_10m,5.69
2026-07-24T21:00:00,2026-07-26T19:00,wind_speed_10m,2.89
2026-07-24T21:00:00,2026-07-26T20:00,wind_speed_10m,2.57
2026-07-24T21:00:00,2026-07-26T21:00,wind_speed_10m,3.99
2026-07-24T21:00:00,2026-07-24T21:00,temperature_2m,22.4
2026-07-24T21:00:00,2026-07-24T22:00,temperature_2m,20.83
2026-07-24T21:00:00,2026-07-24T23:00,temperature_2m,19.55
2026-07-24T21:00:00,2026-07-25T00:00,temperature_2m,19.1
2026-07-24T21:00:00,2026-07-25T01:00,temperature_2m,18.28
2026-07-24T21:00:00,2026-07-25T02:00,temperature_2m,18.19
2026-07-24T21:00:00,2026-07-25T03:00,temperature_2m,17.92
2026-07-24T21:00:00,2026-07-25T04:00,temperature_2m,17.76
2026-07-24T21:00:00,2026-07-25T05:00,temperature_2m,18.11
2026-07-24T21:00:00,2026-07-25T06:00,temperature_2m,18.38
2026-07-24T21:00:00,2026-07-25T07:00,temperature_2m,19.96
2026-07-24T21:00:00,2026-07-25T08:00,temperature_2m,22.12
2026-07-24T21:00:00,2026-07-25T09:00,temperature_2m,23.88
2026-07-24T21:00:00,2026-07-25T10:00,temperature_2m,25.38
2026-07-24T21:00:00,2026-07-25T11:00,temperature_2m,26.53
2026-07-24T21:00:00,2026-07-25T12:00,temperature_2m,27.0
2026-07-24T21:00:00,2026-07-25T13:00,temperature_2m,27.44
2026-07-24T21:00:00,2026-07-25T14:00,temperature_2m,27.49
2026-07-24T21:00:00,2026-07-25T15:00,temperature_2m,27.53
2026-07-24T21:00:00,2026-07-25T16:00,temperature_2m,27.51
2026-07-24T21:00:00,2026-07-25T17:00,temperature_2m,27.03
2026-07-24T21:00:00,2026-07-25T18:00,temperature_2m,26.72
2026-07-24T21:00:00,2026-07-25T19:00,temperature_2m,25.62
2026-07-24T21:00:00,2026-07-25T20:00,temperature_2m,24.32
2026-07-24T21:00:00,2026-07-25T21:00,temperature_2m,22.83
2026-07-24T21:00:00,2026-07-25T22:00,temperature_2m,21.54
2026-07-24T21:00:00,2026-07-25T23:00,temperature_2m,20.64
2026-07-24T21:00:00,2026-07-26T00:00,temperature_2m,20.18
2026-07-24T21:00:00,2026-07-26T01:00,temperature_2m,20.24
2026-07-24T21:00:00,2026-07-26T02:00,temperature_2m,20.16
2026-07-24T21:00:00,2026-07-26T03:00,temperature_2m,19.42
2026-07-24T21:00:00,2026-07-26T04:00,temperature_2m,18.51
2026-07-24T21:00:00,2026-07-26T05:00,temperature_2m,18.07
2026-07-24T21:00:00,2026-07-26T06:00,temperature_2m,18.99
2026-07-24T21:00:00,2026-07-26T07:00,temperature_2m,21.14
2026-07-24T21:00:00,2026-07-26T08:00,temperature_2m,23.15
2026-07-24T21:00:00,2026-07-26T09:00,temperature_2m,24.18
2026-07-24T21:00:00,2026-07-26T10:00,temperature_2m,24.09
2026-07-24T21:00:00,2026-07-26T11:00,temperature_2m,23.78
2026-07-24T21:00:00,2026-07-26T12:00,temperature_2m,23.63
2026-07-24T21:00:00,2026-07-26T13:00,temperature_2m,23.2
2026-07-24T21:00:00,2026-07-26T14:00,temperature_2m,22.67
2026-07-24T21:00:00,2026-07-26T15:00,temperature_2m,21.99
2026-07-24T21:00:00,2026-07-26T16:00,temperature_2m,21.73
2026-07-24T21:00:00,2026-07-26T17:00,temperature_2m,21.63
2026-07-24T21:00:00,2026-07-26T18:00,temperature_2m,21.43
2026-07-24T21:00:00,2026-07-26T19:00,temperature_2m,20.84
2026-07-24T21:00:00,2026-07-26T20:00,temperature_2m,20.04
2026-07-24T21:00:00,2026-07-26T21:00,temperature_2m,19.49
2026-07-24T21:00:00,2026-07-24T21:00,relative_humidity_2m,49.66
2026-07-24T21:00:00,2026-07-24T22:00,relative_humidity_2m,53.52
2026-07-24T21:00:00,2026-07-24T23:00,relative_humidity_2m,57.76
2026-07-24T21:00:00,2026-07-25T00:00,relative_humidity_2m,63.87
2026-07-24T21:00:00,2026-07-25T01:00,relative_humidity_2m,64.49
2026-07-24T21:00:00,2026-07-25T02:00,relative_humidity_2m,62.95
2026-07-24T21:00:00,2026-07-25T03:00,relative_humidity_2m,67.12
2026-07-24T21:00:00,2026-07-25T04:00,relative_humidity_2m,69.05
2026-07-24T21:00:00,2026-07-25T05:00,relative_humidity_2m,68.23
2026-07-24T21:00:00,2026-07-25T06:00,relative_humidity_2m,67.02
2026-07-24T21:00:00,2026-07-25T07:00,relative_humidity_2m,62.69
2026-07-24T21:00:00,2026-07-25T08:00,relative_humidity_2m,55.02
2026-07-24T21:00:00,2026-07-25T09:00,relative_humidity_2m,49.87
2026-07-24T21:00:00,2026-07-25T10:00,relative_humidity_2m,45.24
2026-07-24T21:00:00,2026-07-25T11:00,relative_humidity_2m,42.1
2026-07-24T21:00:00,2026-07-25T12:00,relative_humidity_2m,40.5
2026-07-24T21:00:00,2026-07-25T13:00,relative_humidity_2m,38.44
2026-07-24T21:00:00,2026-07-25T14:00,relative_humidity_2m,38.07
2026-07-24T21:00:00,2026-07-25T15:00,relative_humidity_2m,37.92
2026-07-24T21:00:00,2026-07-25T16:00,relative_humidity_2m,38.06
2026-07-24T21:00:00,2026-07-25T17:00,relative_humidity_2m,38.45
2026-07-24T21:00:00,2026-07-25T18:00,relative_humidity_2m,40.98
2026-07-24T21:00:00,2026-07-25T19:00,relative_humidity_2m,43.98
2026-07-24T21:00:00,2026-07-25T20:00,relative_humidity_2m,48.53
2026-07-24T21:00:00,2026-07-25T21:00,relative_humidity_2m,54.64
2026-07-24T21:00:00,2026-07-25T22:00,relative_humidity_2m,60.92
2026-07-24T21:00:00,2026-07-25T23:00,relative_humidity_2m,65.41
2026-07-24T21:00:00,2026-07-26T00:00,relative_humidity_2m,68.69
2026-07-24T21:00:00,2026-07-26T01:00,relative_humidity_2m,70.7
2026-07-24T21:00:00,2026-07-26T02:00,relative_humidity_2m,70.96
2026-07-24T21:00:00,2026-07-26T03:00,relative_humidity_2m,73.01
2026-07-24T21:00:00,2026-07-26T04:00,relative_humidity_2m,71.44
2026-07-24T21:00:00,2026-07-26T05:00,relative_humidity_2m,71.5
2026-07-24T21:00:00,2026-07-26T06:00,relative_humidity_2m,70.48
2026-07-24T21:00:00,2026-07-26T07:00,relative_humidity_2m,63.93
2026-07-24T21:00:00,2026-07-26T08:00,relative_humidity_2m,56.18
2026-07-24T21:00:00,2026-07-26T09:00,relative_humidity_2m,55.95
2026-07-24T21:00:00,2026-07-26T10:00,relative_humidity_2m,61.75
